,sentiments,labels
2890,On The World 🌐 today:  @Levitt_Matt: Will #Afghanistan become a safe haven for terrorist groups?  @pwinn5: Rodrigo Duterte will run for vice-president of The #Philippines   @HalimaGikandi: Evacuees from #Afghanistan arrive in #Uganda  Tune in 📻   https://t.co/uszpflI3ZA,Negative
2894,"Philippine President Rodrigo Duterte, who is notorious for his vulgar rhetoric and crackdown on illegal drugs, has confirmed that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.   https://t.co/RiEVoVAodS",Negative
2895,"Philippine President Rodrigo Duterte has confirmed rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits  https://t.co/l8yOeApSFq",Negative
2896,@pcoogov MABUHAY PRESIDENT RODRIGO ROA DUTERTE ADMINISTRATION God bless po BUILD BUILD BUILD FIGHT FIGHT FIGHT🙏👊🏼🇵🇭,Negative
2901,"Philippine President Rodrigo Duterte has confirmed that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.  https://t.co/xWgt3ASfqW",Negative
2907,"ICYMI: President Rodrigo Duterte would drop his intent to run for vice president in 2022 if his daughter, Davao City Mayor Sara Duterte, seeks the presidency, Malacañang said Wednesday.  https://t.co/Si51fJs5nY",Negative
2923,Philippine President Rodrigo Duterte said he will run for vice president in the 2022 elections to “continue the crusade” against illegal drugs and an insurgency  https://t.co/SIqcgc38ua  https://t.co/W9yWkhPqym,Negative
2925,"Some mess probably.. especially kawawa since.. pandemic.. plus daming utang, plus china... andaming pressure for the next president.. kaya pls.. enough for a duterte or marcos to run.. kakasawa.. natry niyo na kamay na bakal oh, la naman tayong napala... gising mga ka dedees",Negative
2928,"Maybe. Or they'll simply go for the usual route which is to align themselves with the new President. It happened with Duterte, Aquino and Arroyo. No good reason they'll back a powerless spare tire this time in case he becomes VP which I hope will never ever happen.",Negative
2930,"Philippines President Duterte will run for vice president next year. U.S. Vice President Kamala Harris called for an end to violence in Myanmar. And Thai police arrested four officers on murder charges. This is #VOA60 Asia for August 25, 2021.  https://t.co/d68Sp09cAu",Negative
2933,"For Kontra Daya, President Duterte running for vice president in the May 2022 polls is not only unethical but also makes a mockery of the law.  https://t.co/YOdgjYS0i6",Negative
2936,"Tough-talking Philippine President Rodrigo Duterte has confirmed rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.  https://t.co/7Wym4QnqKN",Negative
2939,"President Rodrigo Duterte would drop his intent to run for vice president in 2022 if his daughter, Davao City Mayor Sara Duterte, seeks the presidency, Malacañang said Wednesday.  FULL STORY:  https://t.co/8XX8g416R9  https://t.co/5AwvE6I7Tl",Negative
2947,Afternoon Headlines &gt; Philippines President Duterte Cunning Plan &gt; Jewish Man Assault Linked To Three Others &gt; Charlie Watts Obituary Read All About It  https://t.co/78pyIO4e9t All Free All The Time #HackneyBooks #Duterte #StamfordHill #CharlieWatts  https://t.co/i3gHJEkpHH,Negative
2951,President Rodrigo Duterte took a swipe at critics in the wake of the commission on audit’s findings on the use of funds by various government agencies.  FULL STORY:  https://t.co/48TuQDbZEw  https://t.co/QoEYWChu7F,Negative
2953,"Mayor Duterte on the report alleging she was ‘furious’ that she had to go through Sen. Go to see her father:  Why would I be furious about the need for an appointment to see the President, what matters is I see the President.",Negative
2954,READ: Davao City Mayor Sara Duterte denies holding a grudge against Sen. Bong Go because of his closeness to President Rodrigo Duterte. @cnnphilippines  https://t.co/cRpN4GbqFR,Negative
2956,"@ANCALERTS Halos 6 yrs na sa puwesto puro sisi pa rin sa dilawan, bakit? Duterte is a BIG FAILURE &amp; CORRUPT President in the Phil history",Negative
2958,“It is not the eagle in the fight but the fight in the eagle that matters…I will end my term fighting” 👊🏿                          -President Rodrigo Duterte-,Negative
2964,"#Philippines President Rodrigo #Duterte confirms rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term  https://t.co/289SN7DSVH…  - Al Arabiya English (@AlArabiya_Eng)06:30 - Aug 25,…",Negative
2966,Malacañang Palace Spokesman Harry Roque has denied the alleged connection of President Rodrigo Roa Duterte to the rumored election bid of F2 Logistics.   https://t.co/N9AtzIN3Xu,Negative
2968,"Mayor Duterte: I am not the keeper of the President, he is allowed to have his friends as I am. Why would I be furious about the need for an appointment to see the President, what matters is I see the President. Mababaw itong source na ito. | via @DA_Manalastas",Negative
2969,"Don't vote for a politician just because galit siya kay President Duterte. If their platform is based on hate and nothing else, then don't expect them to offer anything substantial or worthwhile.",Negative
2971,"Mayor Duterte: I am not the keeper of the President, he is allowed to have his friends as I am. Why would I be furious about the need for an appointment to see the President, what matters is I see the President. Mababaw itong source na ito. @PTVph",Negative
2972,President Rodrigo Roa Duterte addresses several issues confronting the nation and the government’s response to the current COVID-19 situation in his weekly Talk to the People and meeting with several Cabinet members. #InformInformInform #COVID19PH #DuterteLegacy  https://t.co/N0a9A3CSeB,Negative
2973,"#Philippines President Rodrigo #Duterte confirms rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.   https://t.co/IwZK9zJl53",Negative
2974,"@aguyfrombefore @blackweb251 @luminoustrix Because that’s the only reason. If, despite the exponential improvement made by Pres. Duterte especially the help extended to poor people yet some people still hates our president; ur defeaning quiteness of past administration. Yes, with all your lie, u r DILAWANG TAE!!!!!!!",Negative
2976,"@xianneangel Mayor Duterte on the report alleging she was ‘furious’ that she had to go through Sen. Go to see her father:  Why would I be furious about the need for an appointment to see the President, what matters is I see the President | @xianneangel",Negative
2977,"Sum up of this day news:  Sarah Duterte does not want to be a president, PDuts will run for VP, 1.3B of ""equipments"" for DOH was not authorized, DOH continues to buy expired medicine, hazard pay for HCW workers were not yet release so so so toxic pero need natin parin malaman",Negative
2978,"Mayor Duterte on the report alleging she was ‘furious’ that she had to go through Sen. Go to see her father:  Why would I be furious about the need for an appointment to see the President, what matters is I see the President. @cnnphilippines",Negative
2979,READ: Davao City Mayor Sara Duterte denies holding a grudge against Sen. Bong Go because of his closeness to President Rodrigo Duterte | @xianneangel  https://t.co/tiYgzPx03Z,Negative
2980,"""Philippine activists and the families of victims in a drug war that has killed thousands view with dread the possibility of President Rodrigo Duterte staying on as vice-president for six more years after his time in the top job ends next year.""   https://t.co/pFi8g1FJc2",Negative
2981,CORRECTED/REVISED: Davao City Mayor Inday Sara Duterte-Carpio bears no grudge against Senator Bong Go.  This was her comment when she was asked about an online report claiming there is now a conflict between her and the president’s special assistant.  https://t.co/VO80XOFNpq,Negative
2982,Afternoon Headlines &gt; Philippines President Duterte Cunning Plan &gt; Jewish Man Assault Linked To Three Others &gt; Charlie Watts Obituary Read All About It  https://t.co/78pyIOlP11 All Free All The Time #HackneyBooks #Duterte #StamfordHill #CharlieWatts  https://t.co/Bgvq6RBxOi,Negative
2984,READ: Davao City Mayor Sara Duterte denies holding a grudge against Sen. Bong Go because of his closeness to President Rodrigo Duterte. @cnnphilippines  https://t.co/JBFyrMEsRZ,Negative
2985,"Tough-talking Philippine President Rodrigo Duterte has confirmed rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.  https://t.co/f7zurmVipG",Negative
2991,"'Unpleasant event': Sara Duterte outs President Duterte, Bong Go's 2022 plans | Inquirer News  https://t.co/SgK9im0F5C",Negative
2993,"@ianbremmer @gzeromedia if George Bush can be the president after HW Bush, whats wrong with Duterte if he is elected?",Negative
2997,"Tough-talking Philippine President Rodrigo Duterte has confirmed rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits.  https://t.co/aXErYWKxCR",Negative
3003,"Sen. Leila De Lima and former DILG chief Mar Roxas hit back at President Duterte, who accused them of corruption during the previous administration amid questions in the incumbent Cabinet's use of public funds.  Read:  https://t.co/dISbimpDCT  https://t.co/fMUYGlMI6t",Negative
3008,@kowalerts We cant blame you for being bitter. You lost your job. Duterte for president!! Yeah!!!,Negative
3010,This came after President Rodrigo Duterte requested Congress to pass a measure that will provide tax relief to manufacturers of medical-grade oxygen amid the health crisis.,Negative
3018,"'Unpleasant event': Sara Duterte outs President Duterte, Bong Go's 2022 plans | Inquirer News  https://t.co/ms5lN9gluz",Negative
3019,Afternoon Headlines &gt; Philippines President Duterte Cunning Plan &gt; Jewish Man Assault Linked To Three Others &gt; Charlie Watts Obituary Read All About It  https://t.co/78pyIO4e9t All Free All The Time #HackneyBooks #Duterte #StamfordHill #CharlieWatts  https://t.co/wA70DLlCcN,Negative
3020,"@alvinelchico @DorisBigornia Sara for President, Bongbong for Vice President. Yan ang talagang plano ni Duterte, para hindi maagang ma attack ng mga opposition si Bongbong at Sara.",Negative
3027,"President Rodrigo Duterte would drop his intent to run for vice president in 2022 if his daughter, Davao City Mayor Sara Duterte, seeks the presidency, Malacañang said Wednesday.  https://t.co/Si51fJs5nY",Negative
3044,Itong si Senador Pimentel hindi daw niya dinadamay sa away nila sa partido nila pero itong isang Atty Ronwaldo Munsayac binanggit niya ang pangalan ni mayora sa kanyang statement. Kaya nag react tuloy sila Mayora ng Davao City.,Negative
3053,"As time flew, so did President Rodrigo Duterte’s words.  When a faction of the ruling PDP-Laban asked him to run for vice president in 2022, the previously ""tired"" Duterte appeared to have suddenly regained energy. | @AdrianINQ  https://t.co/WQ0xmyNuHO",Negative
3077,MMDA chairman Benhur Abalos denied that he would run for any elective office in the 2022 elections. He also said he will support whatever decision President Rodrigo Duterte makes regarding next year's polls. | @DFernandezINQ  https://t.co/C1CLOFu4kB,Negative
3079,"@inquirerdotnet @NAMercadoINQ Magaling sila Duterte eh, Sila lang yung totoong may malasakit sa bayan❤️❤️❤️🙏🙏🙏 Kung sino ang magiging leader sa susunod sana tuloy tuloy parin ang nasimulan ni President Duterte.  Maraming Salamat po",Negative
3084,"Philippines' Duterte raises rivals' suspicions by seeking vice presidency in 2022  https://t.co/Ob5Ton0eE4 Philippine President Rodrigo Duterte announced on Tuesday he will run for the vice presidency in next year's elections, confirming an earlier annou…  https://t.co/YxAtA6qW31",Negative
3098,sara duterte isa kang skwater! pwede ba jan ka nalang sa davao. you are not fit to be president!,Negative
3099,Philippines’ Duterte says will run for vice president in 2022..   MANILA: Philippine President Rodrigo Duterte declared he will run for vice president next year to continue his “crusade” against drugs and insurgents — a move critics said was a “smokescre…  https://t.co/CmlRZYIeUY  https://t.co/Eah1AF3BAl,Negative
3105,"President Rodrigo Duterte would drop his intent to run for vice president in 2022 if his daughter, Davao City Mayor Sara Duterte, seeks the presidency. #Duterte #SaraDuterte #Election2022  https://t.co/19EvFnFm0x",Negative
3116,"Would it be legal for Bong Go when President, to be the Vice Presidential pet of an illegal Vice President Rodrigo Duterte? And would Bongbong Marcos still be a loser?",Negative
3118,"Philippine President Rodrigo Duterte announces run for vice presidency in 2022 elections, a move seen by critics as a backdoor to the presidency to maintain grip on power  https://t.co/Z4e9A9Vhyy",Negative
3120,"Sara Duterte has just confirmed that Duterte will run for Vice-President w/ Bong Go for President. WTF.  Is this another publicity stunt, or is this for real? The loyal lapdog/assistant to the President is running for President, and a madman trying to perpetuate himself in power?",Negative
3130,Ano Oposisyon litong lito na kayo sa Pangulo? Hahaha..hilong hilong tulero na ba kayo sa paiba ibang sinasabi ng Pangulo. Ang bubo niyo kasi mahina ang mga utak niyo hanggang ngayon hindi niyo parin makuha ang mensahe ng Pangulo. Trap na namn kayo sa sinabi niya. Checkmate kayo.,Negative
3131,Akbayan Party-list on Wednesday said that President Duterte’s declaration that he will run for the vice presidency in 2022 is an insult to the intelligence of the Filipino voters. #AbogadoNews  https://t.co/VggrLvvLsb,Negative
3132,Nililito ng Pangulo ang mga anti duterte at Dilawan. Una tatakbo ang Pangulo sa 2022 bilang bise-presidente nag ngawa ngaw na ang kabilang kubol kesyo illegal daw at unconstitutional. Tapos ngayon naman sabi ng Pangulo handa siya umatras kapag tatakbo ang kanyang anak bilang Pres,Negative
3136,"Philippine President Rodrigo Duterte declared he will run for vice president next year to continue his ""crusade"" against drugs and insurgents -- a move critics said was a ""smokescreen"" and driven by fear of criminal charges.  https://t.co/Dcny1WfKyl",Negative
3141,"Ping Lacson: When I am President, I block you all. You, you, you, your mother, your grandmother and your grandgrandmother. Everybody.  https://t.co/kf3wqGYosd",Negative
3143,"President Rodrigo Duterte would drop his intent to run for vice president in 2022 if his daughter, Davao City Mayor Sara Duterte, seeks the presidency.   https://t.co/8XX8g4iHIH",Negative
3145,"“Duterte is super obsessed to cling into power beyond his constitutional term. His formal declaration to run for vice president is a detestable political circus, bastardization of the constitution, and deceitful of voting public rolled into one,""",Negative
3149,Dick Gordon: I think I am the most qualified to become President  https://t.co/uGxo1nX363,Negative
3153,I saw some foreigner say that Duterte is running for vice president so that Go will step down and Duterte would serve a second term. There's one problem though with that. Here they elect presidents and vice president separately.,Negative
3160,Leave her alone? Davao City Mayor Sara Duterte-Carpio apparently doesn’t want to be dragged in the affairs of PDP-Laban and asked President Duterte and Sen. Bong Go to “stop talking about me and make me the reason for them running or not running.” READ:  https://t.co/SYKZVz2k4z  https://t.co/DJHnFFktKf,Negative
3169,ang n-word for today ay  nako po tatakbo si duterte na vice president tangina naman,Negative
3174,"@hisexcellencel Sara Duterte has more local experience than Leni, Ping, and other presidential wannabe.  Besides Noynoy got elected just because City died. Noynoy never had the qualifications to be president.",Negative
3185,bong go running for president with duterte jesus christ there is no hope,Negative
3186,@AP If Sotto chooses to run for VP Duterte will not stand a chance against him in the election. Sara Duterte has a far harder run for President as she has very little support outside her region. But we all thought Trump didn't stand a chance either in the US.,Negative
3187,@marortoll @teddyboylocsin I wonder which is which to them? Sara as president or PRRD as vice president? I will go for both as depressions to them.  Then come October it will be a Duterte-Duterte... I can't wait!,Negative
3201,UNTVNewsRescue: RT READ: Statement of Mayor Sara Durterte on Sen. Go and President Duterte tandem and the PDP fiasco  https://t.co/pxXsPzFgjv,Negative
3208,Opposition coalition 1Sambayan said President Rodrigo Duterte stands to violate the 1987 Constitution that seeks to bar any sitting president to return to that office after his term.  https://t.co/4uUmtoSI7M @RRD_Davao  #AbogadoNews,Negative
3213,President Bong Go 🙅 VP Duterte 🙅 Mas pipiliin ko pa mag TNT kaysa sa kaputahan na yan,Negative
3215,"The Philippines' tough-talking President Rodrigo Duterte has confirmed rumblings that he will run next year for vice president, in what critics say is an attempt at an end-run around constitutional term limits #Philippines  https://t.co/PLG115yx4i",Negative
3218,"President Rodrigo Duterte may have pushed for a P5.024 trillion national budget for next year but it would not be enough to sustain the needs of sectoral groups to recover from the COVID-19 crisis, an independent think tank said.  READ:  https://t.co/sOAGwVxTUu  https://t.co/Y0WnTPizYF",Negative
3229,"PRESIDENT DUTERTE BINISTO KUNG SINO ANG KURAP!                   👇 MAHAROT  "" LAILA DE LIMA"".                   👇          MAR ROXAS                    👇 You provoked the president, nakita nyo hinahanap nyo. Black propaganda pa para labas lahat ng baho nyo.🤨",Negative
3231,Philippine President Duterte confirms he will run for vice president in what critics say is an end-run around the constitution. Duterte is notorious for his crackdown on illegal drugs that has killed thousands. He said he'd run to “continue the crusade.”  https://t.co/0FHow3BWa6,Negative
3233,"Urgh, what's going on in the Philippines? Why is Duterte running for VP? Note that president is limit to 1 term so he can't run again. Ok, his daughter Sara Duterte may run for pres? Wuat?   Also, why is Duterte so popular? Philippines GDP has gone downward &amp; worst in ASEAN-5.🇵🇭  https://t.co/ODjH8D0qZE",Negative
3235,Philippine President Duterte confirms he will run for vice president in what critics say is an end-run around the constitution. Duterte is notorious for his crackdown on illegal drugs that has killed thousands. He said he'd run to “continue the crusade.”  https://t.co/qv4URsyBYo,Negative
3256,"#BilangPilipino2022 | ""The President, very recently, personally confirmed to me that he will run for Vice President and Senator Go as President. It was not a pleasant event,"" Davao Mayor Sara Duterte-Carpio reveals.  RELATED:  https://t.co/Or3S47R4TB  https://t.co/buVGfsHjJP",Negative
3258,@cnnphilippines Quiet lang ang mga supporters ni President Duterte. Ayaw namin ng masyadong drama at negativity ✌️✌️✌️✌️✌️❤️,Negative
3260,"Sara Duterte-Carpio recently talked to her father President Rodrigo Duterte and said it was ""not a pleasant event.""  https://t.co/JykvE3Iyxi @RRD_Davao  #AbogadoNews",Negative
3262,"Atty. Romulo Macalintal, an election lawyer, believes President Rodrigo Duterte should no longer run for vice president in light of his past complaints about being the country's leader.  READ:  https://t.co/8myvDIQjHY  https://t.co/h7dKYopiff",Negative
3275,"Philippine's Duterte to run for vice president in 2022 election, hoping to continue drugs ""crusade"" and shield himself from criminal charges  https://t.co/7k9y98rxAu",Negative
3276,"Detained Sen. Leila De Lima on Wednesday accused President Rodrigo Duterte of attempting to ""misdirect"" criticism of his own government by digging up COA reports on the DILG and DOJ under the previous administration.    https://t.co/VYATYPzMEi",Negative
3279,READ: Statement of Davao City Mayor Sara Duterte-Carpio on Senator Bong Go and President Rodrigo Duterte Tandem and the PDP Fiasco  📸 Mayor inday Sara Duterte FB Page #AllYouNeedToKnow  https://t.co/bXUYuIxaFf,Negative
3280,so bong go will run for president and duterte will be his vice president omg 😭 and what if pacquaio too for president? binay? sino ba matino who will run for president 😭😭😭💀,Negative
3283,"READ | ON RECORD: Davao City Mayor Sara Duterte ‘suggests’ that her father, President Rodrigo Duterte, and Senator Bong Go, ""own up publicly their decision to run as a tandem"" and ""to stop talking about me and make me the reason for them running or not running.""  #TheFreeman  https://t.co/ZH17cwZAXC",Negative
3286,"Kung iboboto niyo pa din na Vice President si Duterte sa election, BAKIT?!?!?! Sa kanya na nga galing mismo na kaya siya tatakbo ay pra hindi niya harapin yung countless human rights violation cases at corruption cases under his administration. Guys. Wag nang tanga pls lang",Negative
3288,"Philippine President Rodrigo Duterte says he will run for vice president next year to continue his ""crusade"" against drugs and insurgents.  Critics say the move is a smokescreen and driven by fear of criminal charges   https://t.co/Mg8wPJ03vN  https://t.co/LTu9AbFZTJ",Negative
3297,"'STOP TALKING ABOUT ME'  Davao City Mayor and presidential daughter Sara Duterte-Carpio challenged her father, President Rodrigo, and Senator Bong Go to “own up publicly” their decision to run as a tandem.   READ:  https://t.co/YLAGbPVFPs  https://t.co/CoseIQLaDX",Negative
3301,"MANILA - Philippine President Rodrigo Duterte declared he will run for vice president next year to continue his ""crusade"" against drugs and insurgents -- a move critics said was a ""smokescreen"" and driven by fear of criminal charges. #BangkokPost #World  https://t.co/v5Q8PWMA2I",Negative
3309,"The presidential daughter said the President has personally confirmed to her his decision to run as vice president with Go as his president.  She also told Duterte ""to stop talking about me and make me the reason for them"" to run or not in the national elections.",Negative
3310,"'STOP TALKING ABOUT ME'  Davao City Mayor Sara Duterte-Carpio dared her father, President Duterte, and Senator Bong Go to publicly declare their decision to run as tandem in the 2022 elections.  https://t.co/jrYblxN880",Negative
3315,"Davao City Mayor Sara Duterte-Carpio broke her silence saying the President himself “personally confirmed” to her his decision to vie for the second-highest post, with Senator Bong Go as his president. | @NAMercadoINQ  https://t.co/TvucGxA7ur",Negative
3317,"'The DOJ (Sec. DeLima) unliquidated cash advances, incurred in 2013, totaled P617.44 million, and the DILG (Sec. Roxas) fund transfers, made in 2014, totaled P7 billion has forgotten.' - President Duterte  Roxas and De Lima : False accusations, not true!  🤪🤣",Negative
3320,Davao City Mayor Sara Duterte wants ‘out’ of the PDP-Laban ‘disarray’ and advises President Duterte and Senator Bong Go to stop including her in their plans for the 2022 presidential race. #PHVote #WeDecide   RELATED STORY:  https://t.co/jHiw6AZyjK  https://t.co/lDklfYFgrp,Negative
3321,Davao City Mayor Sara Duterte wants ‘out’ of the PDP-Laban ‘disarray’ and advises President Duterte and Senator Bong Go to stop including her in their plans for the 2022 presidential race. #PHVote #WeDecide   RELATED STORY:  https://t.co/BI8xkYaPJK  https://t.co/MOgBOpMHhZ,Negative
3323,"2/2 president (in the 2022 elections),"" Duterte said, adding he wants to continue his crusade against insurgency, criminality, and illegal drugs. #TheBruneianNews    https://t.co/lxosoBBwG1",Negative
3329,"In the #Philippines, President Rodrigo Duterte declared he will run for vice president in 2022 to continue his ""crusade"" against drugs and insurgents - a move driven by fear of criminal charges, critics says   https://t.co/7pwVu9JJUz",Negative
3330,"'STOP TALKING ABOUT ME'  Davao City Mayor Sara Duterte-Carpio challenged her father, President Rodrigo Duterte, and Senator Bong Go to “own up publicly” their decision to run as a tandem for the 2022 national elections.  https://t.co/N9irvUlo53",Negative
3337,"Direct action gets the goods! Ironically enough, KADAMAY was derogatorily called “anarchists” by President Duterte, a charge KADAMAY denies. Instead we say, there's nothing wrong with anarchist direct action and expropriation!",Negative
3338,"President Duterte, you said you were 'tired' and wanted to 'resign'. What is this talk about running as Vice President? Clearly, you're unstable if your decisions keep changing over time and no one knows what you really want.  https://t.co/dOeNPFn5SZ",Negative
3345,READ: Statement of Mayor Sara Durterte on Sen. Go and President Duterte tandem and the PDP fiasco  https://t.co/elkGwanvSs,Negative
3352,"“The President, very recently, personally confirmed to me that he will run for Vice President and Senator Go as President. It was not a pleasant event.” - Mayor Sara Duterte 1/2 @gmanews",Negative
3354,"Davao City Mayor Sara Duterte-Carpio, in a statement, advises President Duterte and Sen. Bong Go ""to stop talking about me and make me the reason for them"" whether to run or not in #Halalan2022 | via @RG_Cruz12479  https://t.co/CeGKQz8dd3",Negative
3356,"JUST IN: Davao City Mayor Sara Duterte-Carpio, in a statement, advises President Duterte and Sen. Bong Go ""to stop talking about me and make me the reason for them"" whether to run or not in #Halalan2022 | via @RG_Cruz12479  https://t.co/IrCq976MMt",Negative
3358,"President Rodrigo Duterte says he will run for Vice President in next year's elections to continue his administration's fight against insurgency, crimininality and illegal drugs.  FULL STORY:  https://t.co/yQvdsZvRQ1  https://t.co/sltAffUPLt",Negative
3380,"Should Department of Health Secretary Francisco Duque III voluntarily resign, President Duterte said Tuesday he will accept his resignation.  https://t.co/XfPJSdDcen",Negative
3387,Big word coming from one of the most incompetent Senate President 🤮🤮🤮 Akala mo daming ginawa ano eh dakilang tuta din naman ni Duterte,Negative
3391,@iamkarendavila Mayor Inday Sara Duterte as the next president. You can cry later.,Negative
3392,• #Philippines President #Duterte to run as VP in 2022 • #Biden reluctant to extend #Afghanistan withdrawal deadline • #India PM #Modi speaks with #Russia President #Putin  A bite-sized review of events from around the world!   https://t.co/ehzVMX2F68,Negative
3398,This part was edited out from the pre-recorded Talk to the People of President Duterte aired last night. It was still unclear why it was removed from the speech. @News5PH,Negative
3409,President Duterte will step aside if his daughter Davao City Mayor Sara Duterte-Carpio will run for president next year as the Chief Executive thinks that two Dutertes running for national posts in the 2022 elections does not look good  https://t.co/2tMWNxoFeo  https://t.co/hTVo4CC103,Negative
3410,"'AN EVEN MORE GROTESQUE VERSION OF SHAKE, RATTLE, AND ROLL’  Senator Risa Hontiveros expressed her dismay Tuesday on PDP Laban’s senatorial line-up for the upcoming 2022 elections with incumbent President Rodrigo Duterte bidding for the vice presidency.  https://t.co/mc70fWdPgT",Negative
3415,"""For Kontra Daya, President Duterte running for vice president in the May 2022 polls is not only unethical but also makes a mockery of the law.""  https://t.co/iBzcvuKTRs",Negative
3428,"Pero may konswelo pa. Narito ang bomb shell expose - President Duterte read the COA reports on unliquidated cash advances of the DOJ and DILG under then Secretaries Leila De Lima and Mar Roxas. Iyong bumale, ngunit hindi ginastos. A big problem for the Liberal Party to explain.",Negative
3432,"President Duterte's latest Talk To The People smells like fear and desperation. It is understandable because he doesn't want to alienate his supporters from the government, so he said that he's going to accept Sec. Duque's possibly voluntary resignation.",Negative
3435,"Nakakapang init ng ulo tong PDP-Laban, wala na ba kayong ibang ma-endorso sa 2022 election? Bong Go for president tas Duterte for VP? kingina HAHHAAHAHAHAHA Gusto ko na matapos ojt namin ngayon araw, nauumay ako sa mga balita 😫🤢",Negative
3438,"Duterte's unemployment rate climbed to a 15-year high of 10.3% or 4.5M jobless Filipinos at the height of the longest &amp; most stringent COVID-19 lockdown in the region.  'INUTEL' dreamin to run for VP2022, can't even provide a real solution as president?   https://t.co/sZqIQxxPQT  https://t.co/zpLXJVqs97",Negative
3443,"Cabinet Secretary Karlo Nograles said President Rodrigo Duterte, who earlier agreed to run for vice president in 2022, has always rejected the idea of running as vice president to his daughter, Davao City Mayor Sara Duterte-Carpio.  https://t.co/TmaxTEfU4o",Negative
3451,"@alvinelchico @DorisBigornia PRRD is trying everything to ensure he can get away with criminal complaints he’ll face once his term expires. If Go-Duterte tandem runs and wins, God forbids, Duterte will be president again because Go will get sick or will resign.",Negative
3452,DUTERTE-DUTERTE FOR 2022?  President Rodrigo Duterte may drop his plan to run for vice president if his daughter Davao City Mayor Sara Duterte-Carpio runs for president in #PHElections2022.  https://t.co/s9Al1kmUZA,Negative
3456,@DZMMTeleRadyo Sorry kayo mga bitterness kay president duterte jan hahahahha. Si duterte at duterte or marcos. Sila lang. Talaga wala nang iba. Wala nang gigiba sa kanya.. Baboos mga bitter jan.,Negative
3467,"Palace spokesman Harry Roque, quoting the president, said that should Sara Duterte decide to run then a senator who is also the president's long-time aide ""is out... For my part, dahil delicadeza, hindi po pwede dalawa kami diyan, if she runs, out na rin ako.""| via @alexisbromero",Negative
3471,"Presidential spokesman Harry Roque quoting President Duterte: Should Sara decides to run, Bong Go is out. For my part, dahil delicadeza, hindi po pwede dalawa kami diyan, if she runs, out na rin ako. | @alexisbromero",Negative
3473,"Presidential spokesman Harry Roque quoting President Duterte: Should Sara decides to run, Bong Go is out. For my part, dahil delicadeza, hindi po pwede dalawa kami diyan, if she runs, out na rin ako @PhilippineStar @PhilstarNews",Negative
3480,Education Usec. Nepo Malaluan in a Senate hearing says the IATF has approved a joint DepEd-DOH detailing plans for the pilot testing of face to face classes in #COVID19PH low risk areas. But President Duterte still has to approve it too @cnnphilippines  https://t.co/m0X32626Hg,Negative
3495,Philippines’ Duterte to run as vice president but ‘remain as power behind the throne’ #SmartNews Fucking stupid!  https://t.co/SdSbWvATok,Negative
3497,Philippines President Rodrigo Duterte accepts endorsement to run as VP #SmartNews what a dumbass idiot intent on holding onto power. From president to VP…how stupid is that?  https://t.co/ekWTulWGhg,Negative
3500,"""President Rodrigo Duterte on Tuesday accused former Justice Secretary Leila de Lima and former Interior Secretary Mar Roxas of stealing public funds, citing previous audit reports that flagged millions to billions of unliquidated funds.""   https://t.co/vK285ZsGgf",Negative
3517,@DYGalvezINQ President Duterte said this in his taped public address on Monday night but was not aired. Source says he has no information why it was cut from the aired footage. | @DYGalvezINQ,Negative
3518,"JUST IN: President Duterte has said he and Sen. Bong Go will not join in the 2022 presidential and vice-presidential race if Davao City mayor Sara Duterte-Carpio vies for the presidency, a highly-placed source in Malacañang confirms. | @DYGalvezINQ  https://t.co/8gFp9PSlyh",Negative
3519,"JUST IN: President Duterte not keen on running for vice president if his daughter Davao City Mayor Sara Duterte runs for president, Cabinet Secretary Karlo Nograles confirms. | @KAguilarINQ  https://t.co/Gd0W2Lu28y",Negative
3521,President Duterte said this in his taped public address on Monday night but was not aired. Source says he has no information why it was cut from the aired footage. @inquirerdotnet,Negative
3522,"President Duterte has said he and Sen. Bong Go will not join in the 2022 presidential and vice-presidential race if Davao City mayor Sara Duterte-Carpio vies for the presidency, a highly-placed source in Malacañang confirms. @inquirerdotnet",Negative
3525,"President Duterte not keen on running for vice president if his daughter Davao City Mayor Sara Duterte runs for president, Cabinet Secretary Karlo Nograles confirms @inquirerdotnet",Negative
3527,"President Duterte on Tuesday, August 24, insisted that he’s not making up laws when he defends policemen and the military who kill while in the line of fire.  READ:  https://t.co/3gkoXerp32  https://t.co/7TVmHyFPqM",Negative
3529,"Well whoever runs as President, I’d be worrying about dying in office.   Ya know? (Wink-wink)  Philippines' Duterte raises rivals' suspicions by seeking vice presidency in 2022  https://t.co/GEoLPsUoo9",Negative
